CaseSize,Recommended,Governoratename,long,lat
2,No,Irbid,35.8526,32.5491
10,No,Irbid,35.9136,32.5415
1,Yes,Ajlun,35.6688,32.3584
8,Yes,Irbid,35.9105,32.5352
4,Yes,Mafraq,36.3846,32.2929
2,Yes,Jarash,35.8967,32.2749
2,Yes,Irbid,35.8620,32.5481
1,Yes,Irbid,36.0123,32.5589
6,No,Irbid,35.8582,32.5431
1,No,Irbid,35.8509,32.5380
3,No,Mafraq,36.3460,32.3818
1,No,Irbid,36.0201,32.5697
2,Yes,Irbid,35.8428,32.5630
2,Yes,Mafraq,36.1832,32.4517
3,Yes,Irbid,35.8487,32.5344
7,Yes,Irbid,35.8606,32.5755
2,No,Irbid,35.8496,32.5419
2,Yes,Irbid,35.8412,32.5669
2,Yes,Irbid,35.8512,32.5410
1,No,Irbid,35.9483,32.5694
3,Yes,Irbid,35.8413,32.5362
4,No,Ajlun,35.7501,32.3315
1,No,Irbid,35.8587,32.5817
3,No,Ajlun,35.8099,32.3599
1,No,Ajlun,35.8099,32.3599
4,No,Irbid,35.8924,32.5057
4,No,Irbid,35.8503,32.5255
1,No,Irbid,35.8997,32.5338
1,Yes,Irbid,35.8508,32.6032
1,Yes,Irbid,35.9018,32.4433
5,Yes,Irbid,35.8650,32.5556
1,No,Jarash,35.8865,32.2729
1,No,Irbid,35.8613,32.5469
4,Yes,Mafraq,36.0878,32.3676
1,No,Irbid,35.9995,32.5594
1,No,Irbid,35.8513,32.5376
3,No,Irbid,35.8629,32.5466
1,Yes,Irbid,36.0174,32.5569
1,Yes,Zarqa,36.0899,32.0666
1,No,Jarash,35.9004,32.3313
2,Yes,Zarqa,36.0899,32.0666
4,No,Irbid,35.8342,32.5829
4,Yes,Mafraq,36.5279,32.2603
1,Yes,Irbid,35.8053,32.5513
5,No,Irbid,35.8674,32.5501
1,Yes,Irbid,35.7304,32.6397
5,Yes,Irbid,35.9131,32.4150
3,No,Irbid,35.8629,32.5466
1,Yes,Irbid,35.8475,32.5317
1,No,Irbid,35.8530,32.5507
3,Yes,Irbid,35.6636,32.4389
1,Yes,Irbid,35.6854,32.5755
4,No,Irbid,35.8822,32.4778
1,Yes,Irbid,35.6881,32.4695
4,No,Irbid,35.8414,32.5558
1,No,Irbid,35.8499,32.5371
3,Yes,Mafraq,36.2103,32.3392
3,Yes,Irbid,35.8475,32.5641
3,No,Irbid,35.8935,32.5257
3,No,Irbid,35.9082,32.4181
1,Yes,Irbid,35.8465,32.5219
8,No,Irbid,36.0329,32.5865
1,No,Irbid,36.0329,32.5865
1,Yes,Irbid,36.0069,32.5630
6,No,Irbid,35.8813,32.5966
3,Yes,Irbid,35.6867,32.4959
3,Yes,Irbid,35.8448,32.5528
4,Yes,Irbid,35.8448,32.5528
1,No,Irbid,35.8104,32.6764
6,Yes,Irbid,35.8580,32.5692
2,Yes,Irbid,35.9971,32.5280
1,Yes,Irbid,36.0135,32.5623
2,Yes,Irbid,35.7279,32.4771
5,Yes,Irbid,35.9913,32.6257
5,Yes,Ajlun,35.5970,32.2781
2,Yes,Irbid,35.7279,32.4771
1,Yes,Irbid,35.9327,32.6869
2,Yes,Jarash,35.8480,32.2908
4,Yes,Irbid,35.8357,32.5373
1,Yes,Mafraq,36.1904,32.4524
5,Yes,Irbid,35.8629,32.5901
3,Yes,Irbid,35.8563,32.5235
1,Yes,Irbid,35.8497,32.5375
4,Yes,Irbid,36.0063,32.5598
6,No,Irbid,35.8832,32.6609
5,Yes,Irbid,35.8525,32.5999
6,Yes,Mafraq,36.4636,32.3607
1,Yes,Irbid,35.8423,32.5409
1,No,Irbid,35.8677,32.5517
2,Yes,Ajlun,35.7802,32.3111
1,Yes,Irbid,35.6845,32.4982
6,Yes,Irbid,35.7116,32.5138
8,Yes,Mafraq,36.2978,32.1688
6,No,Mafraq,36.4649,32.3602
1,Yes,Irbid,35.8563,32.5978
4,No,Irbid,35.8542,32.5429
1,Yes,Irbid,35.8490,32.5333
1,No,Irbid,35.8522,32.5446
11,Yes,Irbid,35.5978,32.2564
1,No,Irbid,35.8595,32.5465
3,Yes,Irbid,35.7995,32.4800
1,No,Ajlun,35.6945,32.3625
6,Yes,Irbid,35.8416,32.5473
1,Yes,Irbid,35.8526,32.5258
1,No,Ajlun,35.6945,32.3625
2,No,Irbid,35.8517,32.5446
6,No,Irbid,35.8517,32.5446
1,No,Irbid,35.9987,32.5646
2,No,Irbid,35.8517,32.5446
5,Yes,Irbid,35.8576,32.5434
1,Yes,Irbid,35.9143,32.4749
1,Yes,Irbid,35.8767,32.5541
1,Yes,Irbid,35.7360,32.5984
2,No,Irbid,35.8353,32.5745
2,Yes,Jarash,35.8991,32.2715
5,Yes,Zarqa,36.0931,32.0692
5,No,Amman,35.8106,31.7993
7,Yes,Mafraq,36.3632,32.2718
5,No,Irbid,35.8528,32.5588
4,Yes,Mafraq,36.3632,32.2718
7,Yes,Mafraq,36.2063,32.3250
1,No,Irbid,35.6974,32.5680
1,No,Irbid,36.0005,32.5640
7,Yes,Balqa,35.6219,32.1884
1,No,Ajlun,35.7013,32.2975
2,Yes,Irbid,35.9328,32.5175
2,Yes,Irbid,35.8566,32.5698
1,Yes,Irbid,36.0592,32.4731
2,No,Amman,35.9695,31.9941
4,No,Irbid,35.8731,32.5475
1,No,Jarash,35.8851,32.2858
2,No,Irbid,35.8447,32.5517
2,No,Amman,35.9695,31.9941
4,No,Irbid,35.8680,32.5359
3,No,Amman,35.9695,31.9941
1,No,Irbid,35.8499,32.5371
8,Yes,Irbid,35.8157,32.5205
3,Yes,Jarash,35.8993,32.2812
1,No,Irbid,35.7089,32.4050
3,Yes,Jarash,35.8816,32.3586
3,Yes,Irbid,35.8714,32.5349
6,No,Irbid,35.8626,32.5399
6,Yes,Ajlun,35.8043,32.3608
1,No,Irbid,35.6828,32.5062
