Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
ADRA ,ADRA Adventist Development and Relief Agency,Regional,100000,50000,50000,Protection,Protection,INGO,Regional
ADRA ,ADRA Adventist Development and Relief Agency,Regional,50000,25000,25000,Health,Health and Nutrition,INGO,Regional
ADRA ,ADRA Adventist Development and Relief Agency,Regional,100000,50000,50000,NFIs,Shelter and NFIs,INGO,Regional
IOM ,IOM International Organization for Migration,Regional,8745000,4372500,4372500,Protection,Protection,IOM,Regional
IOM ,IOM International Organization for Migration,Regional,1500000,750000,750000,Health and Nutrition,Health and Nutrition,IOM,Regional
IOM ,IOM International Organization for Migration,Regional,1000000,500000,500000,Shelter and NFIs,Shelter and NFIs,IOM,Regional
IOM ,IOM International Organization for Migration,Regional,3000000,1500000,1500000,Operational Support,Operational Support,IOM,Regional
OHCHR ,OHCHR Office of the High Commissioner for Human Rights,Regional,190462,95231,95231,Protection,Protection,UN,Regional
UNDP ,UNDP United Nations Development Programme,Regional,500000,250000,250000,Local Community Support,Local Community Support,UN,Regional
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Regional,32561506,16280753,16280753,Protection,Protection,UN,Regional
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Regional,20000000,10000000,10000000,NFIs,Shelter and NFIs,UN,Regional
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Regional,3679305.42,1839652.71,1839652.71,Operational Support,Operational Support,UN,Regional
UNICEF ,UNICEF United Nations Children's Fund  ,Regional,1158000,600000,558000,Coordination,Protection,UN,Regional
UNICEF ,UNICEF United Nations Children's Fund  ,Regional,4860000,2800000,2060000,Child Protection,Protection,UN,Regional
UNICEF ,UNICEF United Nations Children's Fund  ,Regional,400000,200000,200000,Health and Nutrition,Health and Nutrition,UN,Regional
UNICEF ,UNICEF United Nations Children's Fund  ,Regional,470000,300000,170000,WASH and NFIs,WASH,UN,Regional
UNV,UNV United Nations Volunteers,Regional,660000,220000,440000,Protection,Protection,UN,Regional
WHO ,WHO World Health Organization,Regional,160000,80000,80000,Health ,Health and Nutrition,UN,Regional
UNOPS ,UNOPS United Nations Office for Project Services,Serbia,960000,768000,192000,Shelter and Infrastructure,Shelter and NFIs,UN,Serbia
CARE International,CARE International,Serbia,88528.3,88528.3,0,Shelter and Infrastructure,Shelter and NFIs,INGO,Serbia
Mercy Corps,Mercy Corps,Serbia,1045040,230292.3,814747.7,Shelter and Infrastructure,Shelter and NFIs,INGO,Serbia
IOM ,IOM International Organization for Migration,Serbia,1410000,755000,655000,Protection,Protection,IOM,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,3828295.2,1914147.6,1914147.6,Protection,Protection,UN,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,2922641.6,1461320.8,1461320.8,Shelter and Infrastructure,Shelter and NFIs,UN,Serbia
SOS Children's Villages Serbia,SOS Children's Villages Serbia,Serbia,339950,203950,136000,NFIs,Shelter and NFIs,INGO,Serbia
ADRA ,ADRA Adventist Development and Relief Agency,Serbia,591106.2,295553.1,295553.1,Protection,Protection,INGO,Serbia
Foundation Ana and Vlade Divac,Foundation Ana and Vlade Divac,Serbia,695988.4,347994.2,347994.2,NFIs,Shelter and NFIs,NGO,Serbia
SCI ,SCI Save the Children,Serbia,1054548.7,245260.4,809288.3,Protection ,Protection,INGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,597955.1,318864.7,279090.4,Protection,Protection,INGO,Serbia
Help-Hilfe ,Help-Hilfe zur Selbsthilfe e. V.,Serbia,573370.1,305754.5,267615.6,NFIs,Shelter and NFIs,INGO,Serbia
OXFAM,Oxfam,Serbia,1500000,1131702,368298,NFIs,Shelter and NFIs,INGO,Serbia
Arche Nova,Arche Nova,Serbia,172266.7,91862.7,80404,NFIs,Shelter and NFIs,INGO,Serbia
CARE International,CARE International,Serbia,323971.7,242978.8,80992.9,NFIs,Shelter and NFIs,INGO,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,649476,324738,324738,NFIs,Shelter and NFIs,UN,Serbia
Foundation Ana and Vlade Divac,Foundation Ana and Vlade Divac,Serbia,195669.8,97834.9,97834.9,WASH,WASH,NGO,Serbia
IMC ,IMC International Medical Corps,Serbia,1036489.5,549339.4,487150.1,WASH,WASH,INGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,110367.5,58854.4,51513.1,Health ,Health and Nutrition,INGO,Serbia
Arche Nova,Arche Nova,Serbia,302733.3,161435.1,141298.2,WASH,WASH,INGO,Serbia
CARE International,CARE International,Serbia,287500,215625,71875,WASH,WASH,INGO,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,865967.8,432983.9,432983.9,WASH,WASH,UN,Serbia
CARE International,CARE International,Serbia,400000,300000,100000,Food,Food,INGO,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,1407197.8,703598.9,703598.9,Food,Food,UN,Serbia
INTERSOS,INTERSOS,Serbia,360000,271608.5,88391.5,Protection,Protection,INGO,Serbia
BCHR,BCHR Belgrade Center for Human Rights ,Serbia,54000,28796,25204,Protection,Protection,NGO,Serbia
ADRA ,ADRA Adventist Development and Relief Agency,Serbia,354663.8,177331.9,177331.9,NFIs,Shelter and NFIs,INGO,Serbia
HCIT,HCIT Humanitarian Center for Integration and Tolerance ,Serbia,240000,127982.1,112017.9,Protection,Protection,NGO,Serbia
UNICEF ,UNICEF United Nations Children's Fund  ,Serbia,2019999.7,1524025,495974.7,Protection,Protection,UN,Serbia
DRC,DRC Danish Refugee Council,Serbia,101169.9,31036.9,70133,Shelter and NFIs,Shelter and NFIs,NGO,Serbia
UN Women,UN Women,Serbia,615168,464124.6,151043.4,Protection,Protection,UN,Serbia
IRC ,IRC International Rescue Committee,Serbia,1500000,799887.8,700112.2,Protection,Protection,INGO,Serbia
SCI ,SCI Save the Children,Serbia,2690451.3,1823753.2,866698.1,NFIs,Shelter and NFIs,INGO,Serbia
IOM ,IOM International Organization for Migration,Serbia,260000,130000,130000,Shelter and Infrastructure,Shelter and NFIs,IOM,Serbia
DRC,DRC Danish Refugee Council,Serbia,227304.4,116857.4,110447,WASH,WASH,INGO,Serbia
Help-Hilfe ,Help-Hilfe zur Selbsthilfe e. V.,Serbia,536629.9,404870.1,131759.8,Health,Health and Nutrition,INGO,Serbia
Children and Youth Support Organisation,Children and Youth Support Organisation,Serbia,260000,130000,130000,Health,Health and Nutrition,NGO,Serbia
UNICEF ,UNICEF United Nations Children's Fund  ,Serbia,900000,610075.3,289924.7,NFIs,Shelter and NFIs,UN,Serbia
UNICEF ,UNICEF United Nations Children's Fund  ,Serbia,700000,400000,300000,Health,Health and Nutrition,UN,Serbia
IMC ,IMC International Medical Corps,Serbia,2490080.5,1280152.5,1209928,Health,Health and Nutrition,INGO,Serbia
UNFPA ,UNFPA United Nations Population Fund,Serbia,500000,250000,250000,Health,Health and Nutrition,UN,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,432984,216492,216492,Health,Health and Nutrition,UN,Serbia
WHO ,WHO World Health Organization,Serbia,607475,350000,257475,Health,Health and Nutrition,UN,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,1948427.8,974213.9,974213.9,Logistics and Transport,Logistics and Transport,UN,Serbia
IOM ,IOM International Organization for Migration,Serbia,800000,400000,400000,Logistics and Transport,Logistics and Transport,IOM,Serbia
ADRA ,ADRA Adventist Development and Relief Agency,Serbia,144229.9,144229.9,0,Health ,Health and Nutrition,INGO,Serbia
UNICEF ,UNICEF United Nations Children's Fund  ,Serbia,545000,280000,265000,Operational Support,Operational Support,UN,Serbia
UNOPS ,UNOPS United Nations Office for Project Services,Serbia,40000,32000,8000,Operational Support,Operational Support,UN,Serbia
Children and Youth Support Organisation,Children and Youth Support Organisation,Serbia,80000,40000,40000,Operational Support,Operational Support,NGO,Serbia
UNFPA ,UNFPA United Nations Population Fund,Serbia,40000,20000,20000,Operational Support,Operational Support,UN,Serbia
IOM ,IOM International Organization for Migration,Serbia,450000,240000,210000,Operational Support,Operational Support,IOM,Serbia
UN Women,UN Women,Serbia,185000,95000,90000,Support to local communities,Local Community Support,UN,Serbia
