Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
ActionAid,ActionAid,Greece,1842700,633735,1208965,Protection,Protection,INGO,Greece
ADRA ,ADRA Adventist Development and Relief Agency,Regional,100000,50000,50000,Protection,Protection,INGO,Regional
ADRA ,ADRA Adventist Development and Relief Agency,Regional,50000,25000,25000,Health,Health and Nutrition,INGO,Regional
ADRA ,ADRA Adventist Development and Relief Agency,Regional,100000,50000,50000,NFIs,Shelter and NFIs,INGO ,Regional
ADRA ,ADRA Adventist Development and Relief Agency,Serbia,591106.3,295553.1,295553.1,Protection,Protection,INGO,Serbia
ADRA ,ADRA Adventist Development and Relief Agency,Serbia,354663.8,177331.9,177331.9,NFIs,Shelter and NFIs,INGO,Serbia
ADRA ,ADRA Adventist Development and Relief Agency,Serbia,144229.9,144229.9,0,Health ,Health and Nutrition,INGO,Serbia
ADRA ,ADRA Adventist Development and Relief Agency,Croatia,935550,440000,495550,Protection,Protection,INGO,Croatia
ADRA ,ADRA Adventist Development and Relief Agency,fYR Macedonia,51800,25900,25900,Protection,Protection,INGO,Macedonia
ADRA ,ADRA Adventist Development and Relief Agency,fYR Macedonia,345740,172870,172870,Food,Food,INGO,Macedonia
ADRA ,ADRA Adventist Development and Relief Agency,Slovenia ,2139.8,1069.9,1069.9,Protection,Protection,INGO,Slovenia
ADRA ,ADRA Adventist Development and Relief Agency,Slovenia ,128751,48281.2,48281.2,Food,Food,INGO,Slovenia
ADRA ,ADRA Adventist Development and Relief Agency,Slovenia ,856636.2,438319.2,418317,Shelter and NFIs,Shelter and NFIs,INGO,Slovenia
ADRA ,ADRA Adventist Development and Relief Agency,Slovenia ,4690.5,2345.3,2345.3,Logistics and Transport,"Logistics, Transport, Telecomms",INGO,Slovenia
AGAPE,AGAPE,fYR Macedonia,547500,273750,273750,Food Distribution,Food,INGO,Macedonia
Arbeiter Samariter Bund Deutschland e.V./PREDA Plus,Arbeiter Samariter Bund Deutschland e.V./PREDA Plus,fYR Macedonia,211850,105925,105925,Food Distribution,Food,INGO,Macedonia
Arche Nova,Arche Nova,Serbia,751671.4228,400834.9392,350836.4836,NFIs,Shelter and NFIs,INGO,Serbia
Arche Nova,Arche Nova,Serbia,751671.4228,400834.9392,350836.4836,WASH,WASH,INGO,Serbia
ARSIS,ARSIS,Greece,934889.0029,347287.6051,587601.3978,Child Protection,Protection,NGO,Greece
ARSIS,ARSIS,Greece,192258.3234,79300.91744,112957.4059,Education,Protection,NGO,Greece
ARSIS,ARSIS,Greece,59120.89846,19058.02699,40062.87147,Food,Food,NGO,Greece
ARSIS,ARSIS,Greece,140715.2608,33880.93688,106834.3239,Nutrition,Health and Nutrition,NGO,Greece
ARSIS,ARSIS,Greece,170453.7676,65757.25166,104696.516,Telecommunications,"Logistics, Transport, Telecomms",NGO,Greece
ARSIS,ARSIS,Greece,1014446.71,479959.9662,534486.7442,Shelter,Shelter and NFIs,NGO,Greece
Association Hope Jesenice/Institute Abraham,Association Hope Jesenice/Institute Abraham,Slovenia ,259259,152910,106349,Health and Nutrition,Health and Nutrition,NGO,Slovenia
BCHR,BCHR,Serbia,751671.4228,400834.9392,350836.4836,Protection,Protection,NGO,Serbia
BCHR,BCHR,Serbia,24000,12000,12000,Operational Support,Protection,NGO,Serbia
CARE International,CARE International,Serbia,146400,146400,0,Shelter and Infrastructure,Shelter and NFIs,INGO,Serbia
CARE International,CARE International,Serbia,535754.6845,404209.5943,131545.0902,NFIs,Shelter and NFIs,INGO,Serbia
CARE International,CARE International,Serbia,535754.6845,404209.5943,131545.0902,WASH,WASH,INGO,Serbia
CARE International,CARE International,Serbia,535754.6845,404209.5943,131545.0902,Food,Food,INGO,Serbia
CARE International,CARE International,Croatia,53091.27009,26334.27998,26756.99011,Protection,Protection,INGO,Croatia
CARE International,CARE International,Croatia,327065.8426,97802.05587,229263.7868,Health,Health and Nutrition,INGO,Croatia
CARE International,CARE International,Croatia,220890.6858,109565.9824,111324.7034,Shelter and Infrastructure,Shelter and NFIs,INGO,Croatia
CARE International,CARE International,Croatia,31002.20151,15377.68174,15624.51977,WASH,WASH,INGO,Croatia
Caritas Athens,Caritas Athens,Greece,104782.5296,47196.03285,57586.49676,Protection,Protection,NGO,Greece
Caritas Athens,Caritas Athens,Greece,97310.60255,45920.41284,51390.18971,Food,Food,NGO,Greece
Caritas Athens,Caritas Athens,Greece,36168.30137,15437.16254,20731.13883,Nutrition,Health and Nutrition,NGO,Greece
Caritas Athens,Caritas Athens,Greece,75131.73479,75131.73479,0,NFI,Shelter and NFIs,NGO,Greece
Caritas Athens,Caritas Athens,Greece,50694.77534,50694.77534,0,Hygiene kits,WASH,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,43792.68856,21896.34428,21896.34428,Child Protection,Protection,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,99984.03886,49992.01943,49992.01943,Food,Food,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,72757.61597,36378.80798,36378.80798,Supply chain,"Logistics, Transport, Telecomms",NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,861381.3806,430690.6903,430690.6903,NFI,Shelter and NFIs,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,154578.956,77289.47799,77289.47799,Wash,WASH,NGO,Greece
Caritas Slovenia,Caritas Slovenia ,Slovenia ,214000,214000,0,Protection,Protection,NGO,Slovenia
Caritas Slovenia,Caritas Slovenia ,Slovenia ,775750,775750,0,Health and Nutrition,Health and Nutrition,NGO,Slovenia
Caritas Slovenia,Caritas Slovenia ,Slovenia ,160500,160500,0,Shelter and NFIs,Shelter and NFIs,NGO,Slovenia
Catholic Relief Services,Catholic Relief Services,fYR Macedonia,17000,8500,8500,Protection,Protection,INGO,Macedonia
Catholic Relief Services,Catholic Relief Services,fYR Macedonia,40000,20000,20000,Food Distribution,Food,INGO,Macedonia
Catholic Relief Services,Catholic Relief Services,fYR Macedonia,400000,200000,200000,NFIs,Shelter and NFIs,INGO,Macedonia
Catholic Relief Services,Catholic Relief Services,fYR Macedonia,10000,5000,5000,WASH,WASH,INGO,Macedonia
Children and Youth Support Organisation,Children and Youth Support Organisation,Serbia,260000,130000,130000,Health,Health and Nutrition,NGO,Serbia
Children and Youth Support Organisation,Children and Youth Support Organisation,Serbia,80000,40000,40000,Operational Support,Health and Nutrition,NGO,Serbia
Croatian Law Center,Croatian Law Center,Croatia,86539.97,51080.45,35459.52,Protection,Protection,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,2056506.797,1221353.398,835153.3985,Protection,Protection,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,389788.4452,231494.2226,158294.2226,Food,Food,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,37274.85132,22137.42566,15137.42566,Health ,Health and Nutrition,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,1816882.753,1079041.376,737841.3764,Logistics and Transport,"Logistics, Transport, Telecomms",NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,5181204.333,3077102.167,2104102.167,Shelter and Infrastructure,Shelter and NFIs,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,3053342.821,1813371.41,1239971.41,WASH,WASH,NGO,Croatia
Dorcas,Dorcas,fYR Macedonia,1260000,630000,630000,Food Distribution,Food,INGO,Macedonia
DRC,DRC Danish Refugee Council,Serbia,321703.9167,98692.46651,223011.4502,NFIs,Shelter and NFIs,INGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,2500559.909,1285539.6,1215020.308,WASH,WASH,INGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,751671.4228,400834.9392,350836.4836,Protection,Protection,NGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,751671.4228,400834.9392,350836.4836,Health,Health and Nutrition,INGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,73600,73600,0,Support to local communities,Local Community Support,INGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,6400,6400,0,Operational Support (local community support),Local Community Support,INGO,Serbia
DRC,DRC Danish Refugee Council,fYR Macedonia,17647.05882,0,0,Protection,Protection,INGO,Macedonia
DRC,DRC Danish Refugee Council,fYR Macedonia,141176.4706,0,0,NFIs,Shelter and NFIs,INGO,Macedonia
DRC,DRC Danish Refugee Council,fYR Macedonia,41176.47059,0,0,Hygiene,WASH,INGO,Macedonia
Foundation Ana and Vlade Divac,Foundation Ana and Vlade Divac,Serbia,692426.1073,351044.5335,341381.5738,NFIs,Shelter and NFIs,NGO,Serbia
Foundation Ana and Vlade Divac,Foundation Ana and Vlade Divac,Serbia,535754.6845,404209.5943,131545.0902,WASH,WASH,NGO,Serbia
Foundation Ana and Vlade Divac,Foundation Ana and Vlade Divac,Serbia,184000,92000,92000,Support to local communities,Local Community Support,NGO,Serbia
Foundation Ana and Vlade Divac,Foundation Ana and Vlade Divac,Serbia,16000,8000,8000,Operational Support (local community support),Local Community Support,NGO,Serbia
GIZ ,GIZ Gesellschaft für Internationale Zusammenarbeit,Serbia,64400,32200,32200,Support to local communities,Local Community Support,IGO,Serbia
GIZ ,GIZ Gesellschaft für Internationale Zusammenarbeit,Serbia,5600,2800,2800,Operational Support (local community support),Local Community Support,IGO,Serbia
